model,metric,benchmark,unit,score,base_score,delta_base,relative_base_pct,d2_score,delta_d2,relative_d2_pct
Base,sw_nll,sw_nll,diagnostic,4.242591381072998,4.242591381072998,0.0,0.0,2.6170827746391296,1.6255086064338684,62.111470916620526
D2_历史FFT,belebele_sw,SW Belebele,%,44.888888888888886,37.22222222222222,7.666666666666664,20.597014925373138,44.888888888888886,0.0,0.0
D2_历史FFT,sum_sw,SW XL-Sum,chrF++,30.18689316227931,23.93525353687835,6.251639625400962,26.118961371220585,30.18689316227931,0.0,0.0
D2_历史FFT,mt_en2sw,EN→SW,chrF++,36.33963633557651,17.43894564338783,18.90069069218868,108.3820723952717,36.33963633557651,0.0,0.0
D2_历史FFT,mt_sw2en,SW→EN,chrF++,39.64459963483287,21.00647263204572,18.63812700278715,88.72563866031643,39.64459963483287,0.0,0.0
D2_历史FFT,belebele_en,EN Belebele,%,78.33333333333333,81.77777777777779,-3.444444444444457,-4.211956521739147,78.33333333333333,0.0,0.0
D2_历史FFT,sum_en,EN XL-Sum,chrF++,21.63216210835167,21.88807455273231,-0.25591244438063754,-1.169186644371567,21.63216210835167,0.0,0.0
D2_历史FFT,ifeval_prompt_strict,IFEval prompt strict,%,20.147874306839185,42.883548983364136,-22.73567467652495,-53.01724137931034,20.147874306839185,0.0,0.0
D2_历史FFT,ifeval_instruction_strict,IFEval instruction strict,%,29.73621103117506,51.798561151079134,-22.062350119904075,-42.592592592592595,29.73621103117506,0.0,0.0
D2_历史FFT,gsm8k_strict,GSM8K strict 5-shot,%,13.495072024260804,31.311599696739954,-17.81652767247915,-56.90072639225181,13.495072024260804,0.0,0.0
D2_历史FFT,gsm8k_flexible,GSM8K flexible 5-shot,%,37.14935557240334,54.73843821076573,-17.58908263836239,-32.13296398891966,37.14935557240334,0.0,0.0
D2_历史FFT,en_ppl,en_ppl,diagnostic,16.392411912590518,14.279994202913413,2.1124177096771053,14.792847109462603,16.392411912590518,0.0,0.0
D2_历史FFT,sw_ppl,sw_ppl,diagnostic,13.69571177399636,69.5879472795036,-55.89223550550724,-80.31884498764302,13.69571177399636,0.0,0.0
D2_历史FFT,en_nll,en_nll,diagnostic,2.7968185395002365,2.6588595509529114,0.13795898854732513,5.188652725108467,2.7968185395002365,0.0,0.0
D2_历史FFT,sw_nll,sw_nll,diagnostic,2.6170827746391296,4.242591381072998,-1.6255086064338684,-38.3140505514052,2.6170827746391296,0.0,0.0
element_protected,belebele_sw,SW Belebele,%,45.0,37.22222222222222,7.777777777777779,20.895522388059696,44.888888888888886,0.11111111111111427,0.24752475247524774
element_protected,sum_sw,SW XL-Sum,chrF++,30.548908318319523,23.93525353687835,6.6136547814411735,27.63143816818634,30.18689316227931,0.3620151560402114,1.199246156582201
element_protected,mt_en2sw,EN→SW,chrF++,36.92299356838146,17.43894564338783,19.48404792499363,111.72721289134371,36.33963633557651,0.5833572328049499,1.6052918840958386
element_protected,mt_sw2en,SW→EN,chrF++,43.57512002117568,21.00647263204572,22.568647389129957,107.43663529069183,39.64459963483287,3.930520386342806,9.914390415206364
element_protected,belebele_en,EN Belebele,%,80.22222222222221,81.77777777777779,-1.5555555555555713,-1.9021739130434923,78.33333333333333,1.8888888888888857,2.411347517730489
element_protected,sum_en,EN XL-Sum,chrF++,21.53917681539898,21.88807455273231,-0.34889773733332774,-1.5940083559783713,21.63216210835167,-0.0929852929526902,-0.42984743035366924
element_protected,ifeval_prompt_strict,IFEval prompt strict,%,25.693160813308687,42.883548983364136,-17.19038817005545,-40.08620689655172,20.147874306839185,5.545286506469502,27.522935779816528
element_protected,ifeval_instruction_strict,IFEval instruction strict,%,38.00959232613909,51.798561151079134,-13.788968824940042,-26.62037037037036,29.73621103117506,8.273381294964032,27.8225806451613
element_protected,gsm8k_strict,GSM8K strict 5-shot,%,19.9393479909022,31.311599696739954,-11.372251705837755,-36.31961259079903,13.495072024260804,6.444275966641396,47.75280898876404
element_protected,gsm8k_flexible,GSM8K flexible 5-shot,%,41.470811220621684,54.73843821076573,-13.267626990144045,-24.238227146814395,37.14935557240334,4.321455648218347,11.632653061224495
element_protected,en_ppl,en_ppl,diagnostic,14.506013515934647,14.279994202913413,0.22601931302123468,1.5827689410064405,16.392411912590518,-1.8863983966558706,-11.507753750422689
element_protected,sw_ppl,sw_ppl,diagnostic,14.301479432180328,69.5879472795036,-55.286467847323266,-79.44833841018806,13.69571177399636,0.6057676581839679,4.4230461927077025
element_protected,en_nll,en_nll,diagnostic,2.6745632886886597,2.6588595509529114,0.01570373773574829,0.5906193025547513,2.7968185395002365,-0.12225525081157684,-4.371225701093307
element_protected,sw_nll,sw_nll,diagnostic,2.6603629887104034,4.242591381072998,-1.5822283923625946,-37.29391426714377,2.6170827746391296,0.043280214071273804,1.6537579357703613
element_unprotected,belebele_sw,SW Belebele,%,43.333333333333336,37.22222222222222,6.111111111111114,16.417910447761198,44.888888888888886,-1.55555555555555,-3.4653465346534573
element_unprotected,sum_sw,SW XL-Sum,chrF++,30.560465919696245,23.93525353687835,6.625212382817896,27.679725107611965,30.18689316227931,0.37357275741693385,1.2375329763439913
element_unprotected,mt_en2sw,EN→SW,chrF++,35.01702697541655,17.43894564338783,17.57808133202872,100.79784461449735,36.33963633557651,-1.3226093601599587,-3.63957786463901
element_unprotected,mt_sw2en,SW→EN,chrF++,39.2877292075915,21.00647263204572,18.281256575545775,87.02677929686023,39.64459963483287,-0.3568704272413754,-0.9001741234077709
element_unprotected,belebele_en,EN Belebele,%,76.33333333333333,81.77777777777779,-5.444444444444457,-6.6576086956521845,78.33333333333333,-2.0,-2.553191489361706
element_unprotected,sum_en,EN XL-Sum,chrF++,21.931316509194197,21.88807455273231,0.043241956461887554,0.19755943519705887,21.63216210835167,0.2991544008425251,1.3829149363069337
element_unprotected,ifeval_prompt_strict,IFEval prompt strict,%,21.072088724584106,42.883548983364136,-21.81146025878003,-50.86206896551724,20.147874306839185,0.9242144177449205,4.587155963302769
element_unprotected,ifeval_instruction_strict,IFEval instruction strict,%,30.335731414868107,51.798561151079134,-21.462829736211027,-41.435185185185176,29.73621103117506,0.5995203836930472,2.016129032258074
element_unprotected,gsm8k_strict,GSM8K strict 5-shot,%,13.419257012888552,31.311599696739954,-17.892342683851403,-57.14285714285714,13.495072024260804,-0.0758150113722511,-0.561797752808979
element_unprotected,gsm8k_flexible,GSM8K flexible 5-shot,%,30.09855951478393,54.73843821076573,-24.6398786959818,-45.01385041551246,37.14935557240334,-7.050796057619408,-18.979591836734688
element_unprotected,en_ppl,en_ppl,diagnostic,15.413206302058493,14.279994202913413,1.13321209914508,7.935662179147673,16.392411912590518,-0.9792056105320253,-5.973529799967547
element_unprotected,sw_ppl,sw_ppl,diagnostic,14.244516711819971,69.5879472795036,-55.343430567683626,-79.53019557452079,13.69571177399636,0.5488049378236113,4.007129727026015
element_unprotected,en_nll,en_nll,diagnostic,2.7352246940135956,2.6588595509529114,0.0763651430606842,2.8721014253391353,2.7968185395002365,-0.06159384548664093,-2.202282508383513
element_unprotected,sw_nll,sw_nll,diagnostic,2.6563720405101776,4.242591381072998,-1.5862193405628204,-37.38798291155836,2.6170827746391296,0.039289265871047974,1.5012618726385263
